p2_real;p2_imag;A_real;A_imag
0.00352734;-0.8;1.62304;0.0875795
0.00364958;-0.8;1.62326;0.0875712
0.00377606;-0.8;1.62348;0.087556
0.00390693;-0.8;1.62371;0.0875335
0.00404232;-0.8;1.62394;0.0875032
0.00418241;-0.8;1.62418;0.0874645
0.00432736;-0.8;1.62442;0.087417
0.00447733;-0.8;1.62466;0.0873602
0.00463249;-0.8;1.6249;0.0872935
0.00479303;-0.8;1.62514;0.0872166
0.00495914;-0.8;1.62538;0.087129
0.005131;-0.8;1.62563;0.0870303
0.00530882;-0.8;1.62587;0.0869202
0.0054928;-0.8;1.6261;0.0867982
0.00568316;-0.8;1.62634;0.0866643
0.00588011;-0.8;1.62657;0.086518
0.00608389;-0.8;1.62679;0.0863594
0.00629474;-0.8;1.62701;0.0861884
0.00651288;-0.8;1.62722;0.0860049
0.00673859;-0.8;1.62742;0.0858091
0.00697212;-0.8;1.62761;0.0856013
0.00721375;-0.8;1.62779;0.0853816
0.00746375;-0.8;1.62796;0.0851505
0.00772241;-0.8;1.62811;0.0849086
0.00799003;-0.8;1.62825;0.0846563
0.00826694;-0.8;1.62837;0.0843944
0.00855343;-0.8;1.62847;0.0841237
0.00884986;-0.8;1.62856;0.0838451
0.00915656;-0.8;1.62862;0.0835617
0.00947388;-0.8;1.62866;0.0832702
0.00980221;-0.8;1.62868;0.0829738
0.0101419;-0.8;1.62869;0.0826738
0.0104934;-0.8;1.62866;0.0823712
0.010857;-0.8;1.62862;0.0820673
0.0112333;-0.8;1.62855;0.0817634
0.0116226;-0.8;1.62845;0.0814607
0.0120254;-0.8;1.62833;0.0811603
0.0124421;-0.8;1.62818;0.0808636
0.0128733;-0.8;1.62801;0.0805715
0.0133195;-0.8;1.62782;0.0802853
0.0137811;-0.8;1.6276;0.080006
0.0142587;-0.8;1.62735;0.0797345
0.0147528;-0.8;1.62708;0.0794717
0.0152641;-0.8;1.62678;0.0792184
0.0157931;-0.8;1.62646;0.0789754
0.0163404;-0.8;1.62611;0.0787433
0.0169067;-0.8;1.62574;0.0785225
0.0174926;-0.8;1.62535;0.0783135
0.0180988;-0.8;1.62493;0.0781165
0.018726;-0.8;1.62449;0.0779319
0.019375;-0.8;1.62403;0.0777596
0.0200464;-0.8;1.62354;0.0775996
0.0207412;-0.8;1.62303;0.0774519
0.02146;-0.8;1.6225;0.0773162
0.0222037;-0.8;1.62195;0.0771922
0.0229732;-0.8;1.62138;0.0770795
0.0237693;-0.8;1.62078;0.0769776
0.0245931;-0.8;1.62017;0.0768858
0.0254454;-0.8;1.61953;0.0768035
0.0263272;-0.8;1.61887;0.0767298
0.0272396;-0.8;1.6182;0.076664
0.0281836;-0.8;1.6175;0.076605
0.0291603;-0.8;1.61679;0.0765519
0.0301709;-0.8;1.61605;0.0765036
0.0312165;-0.8;1.6153;0.0764613
0.0322983;-0.8;1.61453;0.0764191
0.0334176;-0.8;1.61374;0.0763782
0.0345757;-0.8;1.61294;0.0763374
0.035774;-0.8;1.61212;0.0762955
0.0370138;-0.8;1.61129;0.0762513
0.0382965;-0.8;1.61042;0.0763038
0.0396237;-0.8;1.60956;0.0762517
0.0409969;-0.8;1.6087;0.0761943
0.0424177;-0.8;1.60783;0.076131
0.0438877;-0.8;1.60695;0.0760613
0.0454086;-0.8;1.60607;0.075985
0.0469823;-0.8;1.60519;0.0759022
0.0486105;-0.8;1.60431;0.0758136
0.0502952;-0.8;1.60343;0.07572
0.0520382;-0.8;1.60256;0.0756255
0.0538416;-0.8;1.60171;0.075527
0.0557075;-0.8;1.60087;0.0754296
0.0576381;-0.8;1.60004;0.0753364
0.0596356;-0.8;1.59923;0.0752512
0.0617023;-0.8;1.59845;0.0751783
0.0638407;-0.8;1.59768;0.0751227
0.0660531;-0.8;1.59694;0.0750898
0.0683422;-0.8;1.59623;0.0750855
0.0707107;-0.8;1.59553;0.0751162
0.0731612;-0.8;1.59533;0.0761993
0.0756967;-0.8;1.59469;0.0763068
0.07832;-0.8;1.59407;0.0764696
0.0810342;-0.8;1.59347;0.0766948
0.0838425;-0.8;1.59289;0.0769896
0.0867482;-0.8;1.59232;0.077361
0.0897545;-0.8;1.59177;0.0778159
0.092865;-0.8;1.59121;0.078363
0.0960833;-0.8;1.59064;0.0791093
0.0994131;-0.8;1.5901;0.0798514
0.102858;-0.8;1.58957;0.080699
0.106423;-0.8;1.58904;0.0816545
0.110111;-0.8;1.58852;0.0827199
0.113927;-0.8;1.58801;0.0838878
0.117875;-0.8;1.5875;0.085153
0.12196;-0.8;1.58699;0.0865047
0.126187;-0.8;1.58646;0.0879317
0.13056;-0.8;1.58589;0.0894186
0.135085;-0.8;1.58524;0.0909604
0.139766;-0.8;1.58446;0.0925599
0.14461;-0.8;1.58351;0.0942262
0.149622;-0.8;1.58231;0.0959788
0.154807;-0.8;1.58077;0.0979417
0.160172;-0.8;1.57889;0.0999101
0.165723;-0.8;1.57654;0.101969
0.171466;-0.8;1.57361;0.104049
0.177408;-0.8;1.57029;0.106977
0.183556;-0.8;1.56594;0.108499
0.189918;-0.8;1.56092;0.109231
0.196499;-0.8;1.5556;0.108754
0.203309;-0.8;1.55064;0.106873
0.210355;-0.8;1.54679;0.103988
0.217645;-0.8;1.54459;0.100673
0.225188;-0.8;1.54382;0.097847
0.232992;-0.8;1.54397;0.0959802
0.241066;-0.8;1.54449;0.0951398
0.249421;-0.8;1.54501;0.0951692
0.258065;-0.8;1.54535;0.0958576
0.267008;-0.8;1.54543;0.0971131
0.276261;-0.8;1.54537;0.0986328
0.285835;-0.8;1.54523;0.100431
0.295741;-0.8;1.54525;0.103296
0.30599;-0.8;1.54549;0.105539
0.316595;-0.8;1.54653;0.107974
0.327567;-0.8;1.54936;0.110368
0.338919;-0.8;1.55638;0.110665
0.350664;-0.8;1.56817;0.0987838
0.362817;-0.8;1.5542;0.0709028
0.37539;-0.8;1.52748;0.0752181
0.3884;-0.8;1.51792;0.0859631
0.40186;-0.8;1.51376;0.0929297
0.415787;-0.8;1.51076;0.0981293
0.430196;-0.8;1.50802;0.101255
0.445105;-0.8;1.50519;0.103538
0.460531;-0.8;1.50218;0.105182
0.476491;-0.8;1.49889;0.106374
0.493004;-0.8;1.49524;0.107235
0.510089;-0.8;1.4912;0.107934
0.527767;-0.8;1.48675;0.109075
0.546057;-0.8;1.48215;0.109837
0.564981;-0.8;1.47745;0.110685
0.584561;-0.8;1.4727;0.111568
0.604819;-0.8;1.46793;0.112426
0.625779;-0.8;1.46312;0.113214
0.647466;-0.8;1.45818;0.114182
0.669905;-0.8;1.45326;0.114748
0.693121;-0.8;1.44825;0.11518
0.717141;-0.8;1.4432;0.115459
0.741995;-0.8;1.43814;0.115729
0.767709;-0.8;1.43341;0.115888
0.794314;-0.8;1.42853;0.116681
0.821842;-0.8;1.42295;0.117368
0.850324;-0.8;1.41707;0.117451
0.879792;-0.8;1.4112;0.11699
0.910282;-0.8;1.40541;0.116187
0.941829;-0.8;1.40007;0.115357
0.974468;-0.8;1.39321;0.115713
1.00824;-0.8;1.38687;0.113186
1.04318;-0.8;1.38153;0.111131
1.07933;-0.8;1.37653;0.109318
1.11674;-0.8;1.37237;0.107607
